"from","to","transaction_id","date","amount"
"403822","999676","532880","2016-06-13","370812000"
"629103","922749","512322","2019-05-18","403313000"
"505630","974183","532180","1981-02-02","909213000"
"228607","954854","633700","1984-10-18","522029000"
"850279","940449","436663","1982-12-27","500478000"
"604647","915051","737983","2018-02-03","77257000"
"505944","780786","835398","1984-11-17","781121000"
"618792","708574","686848","2016-02-29","335871000"
"486332","559969","262454","1994-08-20","71235000"
"341018","346935","754760","1973-06-28","693861000"
"273370","940449","597063","1977-02-18","437436000"
"789606","516322","333377","1995-02-14","967386000"
"467046","213334","456421","1986-05-02","758182000"
"980957","698141","875754","1998-11-04","992001000"
"972984","497456","351165","2009-01-17","577053000"
"848430","469707","913426","2013-12-25","969451000"
"317820","701592","815094","2003-04-09","389334000"
"967916","843868","617819","1979-06-17","128729000"
"766987","912885","507644","1975-09-28","462443000"
"870405","710205","369303","1970-08-03","937721000"
"868911","455807","468603","1989-06-11","379410000"
"960951","929908","567175","1971-07-12","327518000"
"403822","928344","242781","1979-09-20","970303000"
"338850","708574","508861","1980-06-30","214402000"
"386884","710205","581418","1981-03-24","577227000"
"888740","633515","220454","1982-10-25","771957000"
"425941","597204","339784","1982-08-10","972072000"
"345102","338850","293661","1976-07-20","657610000"
"221655","173429","618842","1981-05-14","852724000"
"467883","346029","803657","2018-11-02","871006000"
"192188","711232","404398","2018-02-05","809032000"
"948833","627669","541564","1972-10-11","137823000"
"111363","841040","887847","1990-08-05","837804000"
"698141","499799","100548","2005-09-01","316899000"
"938600","816258","844929","2004-02-15","230922000"
"412749","897073","253072","2014-01-20","370674000"
"787043","570484","681929","2017-07-05","297020000"
"273370","790299","551077","2014-01-13","441743000"
"549220","698073","272999","1985-03-29","615743000"
"403822","497456","665386","1978-08-15","626000000"
"850279","983410","325808","1985-08-19","908315000"
"655576","219784","206356","1982-07-02","842448000"
"559969","570484","982039","2010-05-02","174862000"
"526535","497456","599083","1985-02-16","592700000"
"708574","836973","480589","2015-04-02","464059000"
"647409","688738","529021","2005-11-12","182142000"
"915051","345102","785331","1987-03-15","124251000"
"814230","937362","974084","1990-02-07","863905000"
"242631","743688","540647","2000-04-12","493785000"
"425941","204289","610464","2008-12-02","768879000"
"710205","526535","459699","2006-08-11","404773000"
"805091","850279","709636","2019-10-10","377418000"
"960951","936933","650910","1990-10-08","195833000"
"467046","888493","713741","2000-05-01","885541000"
"499799","466537","687547","1977-07-24","660653000"
"687162","850279","595108","1978-09-29","965359000"
"380979","371936","945641","2005-12-13","348716000"
"790299","627669","751507","1989-10-28","464985000"
"201623","597204","286719","1990-07-28","424409000"
"201623","597204","262535","1977-09-08","406322000"
"682081","977058","605668","2019-05-27","357092000"
"457399","939810","294833","1972-08-06","969358000"
"150346","119339","553348","1971-09-08","601785000"
"930690","424779","938028","2011-06-29","644655000"
"825098","204289","165192","1995-01-04","750970000"
"929908","604015","392125","1980-07-05","808069000"
"386884","790299","343902","1987-10-07","709002000"
"233043","724189","199906","2001-08-28","911315000"
"825098","698073","507392","1976-03-29","992530000"
"715325","248353","355679","2014-07-07","406787000"
"345102","977058","945518","1981-02-24","858267000"
"780786","790299","300158","1996-03-02","606890000"
"309210","544439","373239","1996-11-09","906911000"
"469707","224044","594397","2000-08-12","770098000"
"766879","814230","353689","1975-05-26","668281000"
"922749","587582","188541","2003-07-25","680969000"
"380979","529770","142828","1994-03-14","389057000"
"765897","888493","372710","1973-04-03","890672000"
"380979","765871","696344","1972-09-03","488222000"
"928344","972984","427605","1978-06-15","921343000"
"843868","627669","526215","1970-01-30","115094000"
"650362","597204","330943","1987-05-23","784214000"
"248353","119339","432919","1991-07-10","767684000"
"434742","165336","649537","1978-10-22","689817000"
"940449","516322","794775","1992-07-28","464026000"
"715325","687162","711924","1970-08-25","382173000"
"580754","724189","875089","2002-01-31","367320000"
"221655","977058","140181","1998-07-22","911605000"
"897073","650362","324537","1970-04-09","73039000"
"346935","242631","314024","1980-08-06","885570000"
"960951","248353","394151","1978-01-11","7753000"
"698073","559969","999963","1971-09-01","801656000"
"248353","928344","186982","1997-02-12","876614000"
"888493","765897","535279","2015-11-29","780923000"
